n,folded_fa_count,folded_fa_levels,folded_raw_klut_gates,folded_raw_runtime_s,folded_light_mig_before,folded_light_mig_after,folded_light_depth_before,folded_light_depth_after,folded_light_runtime_s,baseline_fa_count,baseline_fa_levels,baseline_raw_klut_gates,baseline_raw_runtime_s,baseline_light_mig_before,baseline_light_mig_after,baseline_light_depth_before,baseline_light_depth_after,baseline_light_runtime_s,delta_raw_klut_baseline_minus_folded,delta_light_mig_before_baseline_minus_folded,delta_light_mig_baseline_minus_folded,delta_light_depth_before_baseline_minus_folded,delta_light_depth_baseline_minus_folded,delta_raw_runtime_s_baseline_minus_folded,delta_light_runtime_s_baseline_minus_folded
5,4,4,13,0.001718,7,7,5,5,0.001913,7,6,22,0.001901,8,8,4,4,0.001949,9,1,1,-1,-1,0.000183,3.6e-05
7,4,3,13,0.001685,8,8,4,4,0.001991,7,6,22,0.001734,8,8,4,4,0.001709,9,0,0,0,0,4.9e-05,-0.000282
9,9,6,28,0.00185,19,19,7,7,0.001904,15,9,46,0.001949,17,17,6,6,0.002206,18,-2,-2,-1,-1,9.9e-05,0.000302
11,9,6,28,0.00184,20,20,8,8,0.001952,15,9,46,0.002236,24,24,7,7,0.002092,18,4,4,-1,-1,0.000396,0.00014
13,11,6,34,0.001692,26,26,8,8,0.0021,15,9,46,0.001944,24,24,7,7,0.0016,12,-2,-2,-1,-1,0.000252,-0.0005
15,11,5,34,0.001928,27,27,7,7,0.002005,15,9,46,0.001442,27,27,7,7,0.001624,12,0,0,0,0,-0.000485,-0.000381
17,18,10,55,0.002098,43,43,13,13,0.002337,31,14,88,0.002583,48,48,13,13,0.001931,33,5,5,0,0,0.000485,-0.000406
19,18,9,55,0.002191,44,44,12,12,0.001872,31,14,94,0.002527,48,48,13,13,0.002858,39,4,4,1,1,0.000336,0.000986
21,20,9,61,0.002364,50,50,13,13,0.001914,31,14,94,0.002755,57,57,14,14,0.002854,33,7,7,1,1,0.000391,0.00094
23,20,9,61,0.002067,51,51,13,13,0.002274,31,14,94,0.002602,63,63,14,14,0.002387,33,12,12,1,1,0.000535,0.000113
25,24,10,73,0.002389,62,62,14,14,0.002243,31,14,94,0.002629,63,63,14,14,0.002761,21,1,1,0,0,0.00024,0.000518
27,24,9,73,0.002343,63,63,13,13,0.00214,31,14,94,0.002732,64,64,14,14,0.002939,21,1,1,1,1,0.000389,0.0008
29,26,9,79,0.00251,69,69,14,14,0.002861,31,14,94,0.002735,70,70,14,14,0.002354,15,1,1,0,0,0.000225,-0.000507
31,26,9,79,0.002414,70,70,14,14,0.002912,31,14,94,0.00227,70,70,14,14,0.002807,15,0,0,0,0,-0.000144,-0.000105
33,35,13,106,0.002052,91,91,17,17,0.00307,63,18,166,0.003664,100,100,17,17,0.004274,60,9,9,0,0,0.001612,0.001205
35,35,13,106,0.002731,92,92,18,18,0.002396,63,18,172,0.00261,106,106,17,17,0.004148,66,14,14,-1,-1,-0.000121,0.001752
37,37,13,112,0.002474,98,98,18,18,0.003219,63,18,175,0.002693,100,100,16,16,0.004012,63,2,2,-2,-2,0.000218,0.000792
39,37,12,112,0.002991,99,99,17,17,0.002409,63,18,172,0.002821,106,106,16,16,0.003914,60,7,7,-1,-1,-0.00017,0.001505
41,41,13,124,0.002822,110,110,18,18,0.002436,63,18,178,0.003651,116,116,17,17,0.004077,54,6,6,-1,-1,0.000829,0.001641
43,41,13,124,0.002108,111,111,19,19,0.003482,63,18,181,0.003709,124,124,19,19,0.004409,57,13,13,0,0,0.001601,0.000927
45,43,12,130,0.003134,117,117,18,18,0.003649,63,18,178,0.002818,133,133,19,19,0.002986,48,16,16,1,1,-0.000317,-0.000664
47,43,12,130,0.003103,118,118,18,18,0.002544,63,18,184,0.00374,136,136,19,19,0.003627,54,18,18,1,1,0.000637,0.001083
49,49,13,148,0.00311,134,134,18,18,0.003664,63,18,187,0.002654,133,133,18,18,0.004351,39,-1,-1,0,0,-0.000456,0.000686
51,49,13,148,0.002531,135,135,19,19,0.003686,63,18,184,0.003257,136,136,18,18,0.003393,36,1,1,-1,-1,0.000726,-0.000293
